iter	Passed	Remaining
0	1	1137
1	1	992
2	2	953
3	5	1261
4	6	1232
5	7	1192
6	7	1131
7	8	1082
8	9	1050
9	10	1019
10	11	995
11	11	972
12	12	952
13	13	936
14	14	921
15	14	911
16	15	901
17	16	891
18	17	884
19	20	1016
20	21	1021
21	22	1019
22	23	1012
23	24	1005
24	26	1014
25	27	1043
26	29	1055
27	30	1067
28	32	1090
29	37	1214
30	39	1228
31	40	1230
32	42	1232
33	43	1232
34	52	1461
35	54	1461
36	55	1456
37	57	1455
38	60	1502
39	62	1500
40	63	1496
41	65	1504
42	67	1501
43	69	1499
44	70	1495
45	71	1490
46	73	1491
47	75	1491
48	76	1487
49	78	1486
50	80	1490
51	81	1488
52	90	1613
53	92	1628
54	96	1665
55	101	1714
56	103	1715
57	105	1707
58	106	1700
59	108	1696
60	110	1706
61	113	1715
62	115	1719
63	117	1717
64	119	1713
65	120	1709
66	122	1701
67	124	1700
68	129	1746
69	130	1738
70	132	1731
71	133	1722
72	134	1713
73	136	1705
74	142	1755
75	143	1746
76	145	1739
77	146	1730
78	148	1725
79	149	1724
80	151	1717
81	155	1739
82	156	1724
83	157	1719
84	160	1722
85	161	1716
86	163	1713
87	164	1707
88	166	1701
89	170	1728
90	173	1730
91	175	1736
92	177	1734
93	179	1727
94	180	1721
95	186	1754
96	187	1748
97	189	1745
98	192	1753
99	194	1754
100	196	1746
101	200	1769
102	202	1764
103	203	1756
104	206	1756
105	208	1757
106	209	1747
107	210	1737
108	211	1727
109	216	1748
110	218	1750
111	219	1741
112	220	1732
113	221	1723
114	222	1715
115	224	1707
116	224	1696
117	225	1688
118	227	1680
119	231	1694
120	232	1691
121	233	1681
122	235	1677
123	236	1673
124	238	1666
125	239	1659
126	240	1652
127	241	1644
128	244	1649
129	245	1645
130	247	1639
131	248	1631
132	249	1623
133	249	1615
134	250	1607
135	251	1600
136	253	1593
137	254	1591
138	256	1586
139	262	1615
140	264	1611
141	265	1603
142	266	1598
143	267	1590
144	269	1586
145	270	1580
146	271	1575
147	275	1588
148	277	1586
149	280	1588
150	282	1588
151	285	1591
152	286	1583
153	286	1575
154	290	1583
155	292	1583
156	293	1576
157	294	1569
158	295	1562
159	297	1562
160	298	1554
161	299	1547
162	300	1541
163	301	1535
164	302	1528
165	303	1527
166	305	1525
167	306	1519
168	308	1515
169	311	1521
170	313	1520
171	318	1534
172	321	1534
173	322	1529
174	323	1524
175	324	1519
176	325	1514
177	326	1509
178	327	1504
179	329	1499
180	332	1506
181	334	1505
182	336	1500
183	337	1496
184	338	1491
185	339	1485
186	340	1479
187	341	1474
188	342	1468
189	343	1463
190	344	1457
191	347	1461
192	348	1456
193	349	1452
194	350	1447
195	351	1442
196	352	1437
197	353	1432
198	354	1427
199	355	1422
200	356	1417
201	357	1412
202	358	1408
203	361	1411
204	363	1408
205	364	1404
206	365	1399
207	366	1394
208	367	1389
209	367	1384
210	368	1379
211	369	1374
212	370	1369
213	371	1364
214	372	1360
215	375	1362
216	376	1358
217	377	1355
218	378	1350
219	379	1345
220	380	1340
221	381	1335
222	381	1330
223	382	1326
224	383	1321
225	384	1316
226	385	1311
227	385	1305
228	386	1300
229	387	1295
230	389	1297
231	391	1294
232	392	1292
233	393	1287
234	394	1282
235	394	1277
236	395	1272
237	396	1268
238	396	1263
239	397	1258
240	397	1253
241	398	1248
242	399	1244
243	400	1239
244	400	1235
245	401	1230
246	403	1229
247	404	1227
248	405	1224
249	406	1220
250	407	1215
251	408	1211
252	409	1208
253	409	1203
254	410	1200
255	411	1195
256	412	1191
257	412	1187
258	413	1183
259	414	1179
260	414	1174
261	415	1170
262	416	1166
263	419	1168
264	420	1165
265	421	1162
266	422	1158
267	422	1154
268	423	1150
269	424	1146
270	424	1142
271	425	1138
272	426	1134
273	426	1130
274	427	1126
275	428	1123
276	428	1119
277	429	1115
278	430	1111
279	430	1107
280	433	1109
281	434	1107
282	436	1105
283	437	1101
284	437	1098
285	438	1094
286	439	1090
287	439	1087
288	440	1083
289	441	1080
290	441	1076
291	442	1072
292	443	1069
293	443	1066
294	444	1062
295	445	1059
296	447	1058
297	448	1056
298	449	1054
